Гречневая ядрица	14,0	12,6	2,6	68,0	329
Гречневая продел	14,0	9,5	1,9	72,2	326
Манная	14,0	11,3	0,7	73,3	326
Овсяная	12,0	11,9	5,8	65,4	345
Перловая	14,0	9,3	1,1	73,7	324
Пшено	14,0	12,0	2,9	69,3	334
Рисовая	14,0	7,0	0,6	73,7	323
Пшеничная "Полтавская"	14,0	12,7	1,1	70,6	325
Толокно	10,0	12,2	5,8	68,3	357
Ячневая	14,0	10,4	1,3	71,7	322
Геркулес	12,0	13,1	6,2	65,7	355
Кукурузная	14,0	8,3	1,2	75,0	325
